,index,Individual_ID,DropoutPrediction,Probability_NoDrop,Probability_Drop,SR_NO,AGE,SCHOOL_ENTRY_AGE,LEV_CURR_ATTEND,COURSE_CD,DURATION_ACADEMY,WH_PRESENT_CLASS,INSTITUTION_CD,INSTITUTION_NATURE_CD,REASON_PRIVATE,MEDIUM_CD,LANGUAGE_CD,TYPE_COURSE_CD,EDUCATION_FREE,FEE_WAIVED,ANNUAL_AMT_WAIVED,REASON_WAIVED,SCHOLARSHIP,ANNUAL_AMT_RECVD,SCHOLARSHIP_TYPE,AGENCY,RECVD_TXT_BOOK_CD,RECVD_STAT_CD,FREE_MID_DAY_MEAL,PROVIDED_AGENCY,TRANSPORT_CD,CONCESSION_RECVD,DIST_RESIDENCE,EDU_INSTIT_CHANGE,PRIV_COACHING,PROPOSE_PRIV_COACHING,SRL_NO,ELE_NO,BLK,ROUND,ID_KEY
1587,1688,9850623,1.0,0.04621342942547849,0.953786570574523,3,11.0,6.0,7.0,1.0,12.0,2.0,2.0,1.0,4.0,2.0,15.0,1.0,1.0,,,,2.0,,,,1.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3,1,5,71,985062
1591,1692,9851554,1.0,0.09256317618987982,0.9074368238101219,4,21.0,5.0,11.0,6.0,12.0,2.0,1.0,,,2.0,1.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,1.0,,1.0,4.0,1.0,1.0,4,1,5,71,985155
1608,1717,99961612,1.0,0.07811747967329533,0.9218825203267046,12,26.0,5.0,15.0,12.0,12.0,2.0,1.0,,,2.0,1.0,3.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,2.0,5.0,1.0,2.0,,12,1,5,71,999616
1609,1718,9996165,1.0,0.11046032997639223,0.8895396700236067,5,8.0,5.0,7.0,1.0,12.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,1.0,,1.0,1.0,2.0,,5,1,5,71,999616
1616,1727,9668413,1.0,0.083682789194135,0.9163172108058661,3,20.0,6.0,15.0,4.0,12.0,2.0,2.0,,1.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,9.0,,5.0,1.0,1.0,1.0,3,1,5,71,966841
1618,1729,9673983,1.0,0.03627491245948836,0.9637250875405108,3,19.0,6.0,14.0,6.0,12.0,2.0,2.0,,1.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,9.0,,4.0,1.0,2.0,,3,1,5,71,967398
1626,1737,9673924,1.0,0.03770161709251913,0.9622983829074824,4,13.0,5.0,8.0,1.0,12.0,2.0,2.0,,4.0,2.0,2.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,2.0,3.0,1.0,2.0,,4,1,5,71,967392
1627,1738,9673926,1.0,0.0032408405702621097,0.9967591594297376,6,10.0,5.0,7.0,1.0,12.0,2.0,2.0,,4.0,2.0,2.0,1.0,2.0,3.0,,,2.0,,,,6.0,4.0,2.0,,3.0,2.0,3.0,1.0,2.0,,6,1,5,71,967392
1628,1739,9673923,1.0,0.003534544565568022,0.996465455434432,3,15.0,5.0,8.0,1.0,12.0,2.0,2.0,,4.0,2.0,2.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,2.0,3.0,1.0,2.0,,3,1,5,71,967392
1629,1740,9673925,1.0,0.0360641486043816,0.9639358513956191,5,11.0,5.0,7.0,1.0,12.0,2.0,2.0,,4.0,2.0,2.0,1.0,2.0,3.0,,,2.0,,,,6.0,4.0,2.0,,3.0,2.0,3.0,1.0,2.0,,5,1,5,71,967392
1630,1741,9673934,1.0,0.1782742960147346,0.8217257039852649,4,10.0,6.0,7.0,1.0,12.0,2.0,1.0,,,15.0,15.0,1.0,1.0,3.0,2.0,,2.0,,,,1.0,6.0,1.0,1.0,1.0,,2.0,1.0,2.0,,4,1,5,71,967393
1632,1743,9673933,1.0,0.19147669435662418,0.8085233056433755,3,12.0,6.0,7.0,1.0,12.0,2.0,1.0,,,15.0,15.0,1.0,1.0,3.0,2.0,,2.0,,,,6.0,6.0,1.0,1.0,1.0,,2.0,1.0,2.0,,3,1,5,71,967393
1634,1745,9673953,1.0,0.015601877331850604,0.9843981226681481,3,26.0,6.0,14.0,6.0,12.0,2.0,2.0,,2.0,2.0,15.0,1.0,1.0,,,,2.0,,,,1.0,6.0,2.0,,1.0,,1.0,2.0,2.0,,3,1,5,71,967395
1636,1747,9673973,1.0,0.08154153467365058,0.9184584653263494,3,24.0,6.0,16.0,10.0,12.0,2.0,2.0,,1.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,2.0,5.0,1.0,2.0,,3,1,5,71,967397
1637,1748,9674004,1.0,0.09018149255031498,0.9098185074496843,4,14.0,6.0,8.0,1.0,12.0,2.0,2.0,1.0,1.0,15.0,7.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,1.0,1.0,9.0,,3.0,1.0,1.0,1.0,4,1,5,71,967400
1638,1749,9674003,1.0,0.09068904782216736,0.9093109521778332,3,16.0,6.0,11.0,1.0,12.0,2.0,2.0,,1.0,2.0,7.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,9.0,,3.0,1.0,2.0,,3,1,5,71,967400
1639,1750,9674014,1.0,0.016640253396526646,0.9833597466034736,4,14.0,6.0,8.0,1.0,12.0,2.0,2.0,1.0,1.0,15.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,1.0,1.0,1.0,,2.0,2.0,2.0,,4,1,5,71,967401
1640,1751,9674013,1.0,0.01639623374402911,0.9836037662559702,3,18.0,6.0,11.0,4.0,12.0,2.0,2.0,,1.0,2.0,15.0,1.0,2.0,1.0,1400.0,6.0,2.0,,,,6.0,6.0,2.0,,1.0,,2.0,2.0,1.0,1.0,3,1,5,71,967401
1659,1776,9662994,1.0,0.10026897095769839,0.8997310290423028,4,21.0,6.0,15.0,6.0,12.0,2.0,2.0,1.0,5.0,2.0,7.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,1.0,5.0,1.0,2.0,,4,1,5,71,966299
1668,1785,9776723,1.0,0.08198623931747985,0.9180137606825202,3,21.0,6.0,13.0,14.0,12.0,2.0,3.0,2.0,4.0,2.0,11.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,2.0,5.0,1.0,2.0,,3,1,5,71,977672
1669,1786,9779365,1.0,0.0626429224106567,0.9373570775893447,5,7.0,6.0,7.0,1.0,12.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,2.0,4.0,1.0,1.0,2.0,5,1,5,71,977936
1670,1787,9779374,1.0,0.02726055084774438,0.9727394491522547,4,18.0,6.0,11.0,3.0,12.0,2.0,2.0,,2.0,2.0,1.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,2.0,5.0,1.0,1.0,1.0,4,1,5,71,977937
1671,1788,9779373,1.0,0.027054245991570358,0.9729457540084292,3,20.0,6.0,11.0,4.0,12.0,2.0,2.0,,2.0,2.0,1.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,2.0,5.0,1.0,2.0,,3,1,5,71,977937
1686,1803,9705734,1.0,0.015766586290178016,0.9842334137098214,4,21.0,6.0,12.0,6.0,12.0,2.0,1.0,,,2.0,15.0,1.0,2.0,2.0,,3.0,2.0,,,,6.0,6.0,2.0,,3.0,1.0,5.0,3.0,2.0,,4,1,5,71,970573
1687,1804,9705744,1.0,0.026896201566211468,0.973103798433788,4,20.0,6.0,12.0,3.0,12.0,2.0,2.0,,2.0,2.0,15.0,1.0,1.0,,,3.0,1.0,1200.0,3.0,1.0,6.0,6.0,2.0,,9.0,,4.0,1.0,2.0,,4,1,5,71,970574
1688,1805,9705743,1.0,0.2482349632665422,0.7517650367334567,3,22.0,6.0,15.0,6.0,12.0,2.0,2.0,,5.0,2.0,15.0,1.0,2.0,3.0,,3.0,1.0,3500.0,3.0,1.0,6.0,6.0,2.0,,9.0,,5.0,1.0,2.0,,3,1,5,71,970574
1690,1807,9705764,1.0,0.08360617175499888,0.9163938282450014,4,18.0,5.0,11.0,2.0,12.0,2.0,2.0,,1.0,15.0,15.0,1.0,1.0,3.0,,,1.0,1100.0,3.0,1.0,6.0,6.0,2.0,,4.0,,1.0,1.0,2.0,,4,1,5,71,970576
1710,1827,9706004,1.0,0.03929960690097803,0.96070039309902,4,11.0,5.0,8.0,1.0,12.0,2.0,2.0,,2.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,1.0,1.0,9.0,,5.0,1.0,2.0,,4,1,5,71,970600
1711,1828,9706003,1.0,0.03483880248389887,0.9651611975161036,3,21.0,5.0,15.0,10.0,12.0,2.0,2.0,,2.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,9.0,,5.0,1.0,2.0,,3,1,5,71,970600
1712,1829,9706005,1.0,0.039014198481895974,0.9609858015181075,5,9.0,5.0,7.0,1.0,12.0,2.0,1.0,,,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,9.0,,5.0,1.0,2.0,,5,1,5,71,970600
1716,1833,9706024,1.0,0.13971922405920884,0.8602807759407899,4,15.0,5.0,10.0,1.0,12.0,1.0,2.0,,2.0,2.0,1.0,1.0,2.0,3.0,,,2.0,,,2.0,6.0,6.0,2.0,,4.0,2.0,2.0,1.0,1.0,3.0,4,1,5,71,970602
1717,1834,9706023,1.0,0.13331231904829288,0.8666876809517059,3,18.0,5.0,15.0,3.0,12.0,1.0,1.0,,2.0,2.0,1.0,1.0,2.0,3.0,,,2.0,,,2.0,6.0,6.0,2.0,,9.0,2.0,5.0,1.0,1.0,1.0,3,1,5,71,970602
1733,1850,9708584,1.0,0.2212029042081038,0.7787970957918977,4,18.0,6.0,11.0,2.0,12.0,2.0,2.0,,5.0,15.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,4.0,,2.0,1.0,1.0,1.0,4,1,5,71,970858
1734,1851,9708583,1.0,0.2143487303071044,0.785651269692896,3,21.0,6.0,16.0,3.0,12.0,2.0,2.0,,5.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,2.0,3.0,1.0,1.0,1.0,3,1,5,71,970858
1735,1852,9708585,1.0,0.023434588527880638,0.9765654114721194,5,10.0,6.0,7.0,1.0,12.0,2.0,2.0,,5.0,15.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,4.0,,1.0,1.0,1.0,1.0,5,1,5,71,970858
1758,1876,9783673,1.0,0.08977579670575747,0.9102242032942429,3,19.0,6.0,13.0,14.0,12.0,2.0,2.0,,2.0,2.0,8.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,1.0,5.0,1.0,2.0,,3,1,5,71,978367
1769,1888,9783863,1.0,0.10150014798541782,0.8984998520145812,3,22.0,5.0,13.0,6.0,12.0,2.0,2.0,1.0,5.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,2.0,2.0,1.0,2.0,,3,1,5,71,978386
1792,1912,9712764,1.0,0.17892190887707388,0.8210780911229277,4,23.0,5.0,15.0,6.0,12.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,1.0,2.0,,,,6.0,6.0,2.0,,9.0,,2.0,1.0,1.0,2.0,4,1,5,71,971276
1795,1915,9699334,1.0,0.058665166855802954,0.9413348331441962,4,18.0,6.0,15.0,6.0,12.0,2.0,3.0,1.0,5.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,1.0,,5.0,1.0,2.0,,4,1,5,71,969933
1803,1923,9708193,1.0,0.20053674921072637,0.7994632507892745,3,24.0,6.0,14.0,11.0,12.0,2.0,3.0,1.0,5.0,15.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,2.0,3.0,1.0,1.0,1.0,3,1,5,71,970819
1808,1928,9708223,1.0,0.04111828459671403,0.9588817154032852,3,12.0,6.0,7.0,1.0,12.0,2.0,3.0,1.0,5.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,2.0,5.0,1.0,1.0,1.0,3,1,5,71,970822
1811,1931,9708235,1.0,0.15148232689735763,0.8485176731026409,5,8.0,6.0,7.0,1.0,12.0,2.0,3.0,1.0,5.0,15.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,2.0,3.0,1.0,1.0,1.0,5,1,5,71,970823
1812,1932,9708264,1.0,0.014276502540780934,0.9857234974592204,4,21.0,6.0,15.0,13.0,12.0,2.0,3.0,1.0,1.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,2.0,4.0,1.0,1.0,1.0,4,1,5,71,970826
1813,1933,9708274,1.0,0.0447898102644693,0.9552101897355301,4,15.0,6.0,8.0,1.0,12.0,2.0,2.0,,5.0,15.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,2.0,4.0,1.0,1.0,1.0,4,1,5,71,970827
1814,1934,9708273,1.0,0.04839090563339054,0.9516090943666086,3,19.0,6.0,12.0,14.0,12.0,2.0,2.0,,5.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,2.0,4.0,1.0,1.0,1.0,3,1,5,71,970827
1817,1937,9708293,1.0,0.012379445791289481,0.987620554208709,3,20.0,6.0,13.0,6.0,12.0,2.0,2.0,,3.0,2.0,15.0,1.0,2.0,2.0,,3.0,1.0,5000.0,1.0,1.0,6.0,6.0,2.0,,2.0,1.0,3.0,2.0,2.0,,3,1,5,71,970829
1820,1942,9708333,1.0,0.05783828558649639,0.942161714413504,3,16.0,6.0,10.0,1.0,12.0,2.0,2.0,,2.0,2.0,13.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,4.0,2.0,1.0,1.0,1.0,9.0,3,1,5,71,970833
1824,1946,9708372,1.0,0.09877805182739867,0.9012219481726,2,13.0,6.0,7.0,1.0,12.0,2.0,1.0,,,15.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,1.0,,1.0,1.0,2.0,,2,1,5,71,970837
1825,1947,9708383,1.0,0.22280730923671754,0.7771926907632813,3,20.0,6.0,13.0,3.0,12.0,2.0,2.0,,1.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,2.0,,4.0,1.0,1.0,1.0,3,1,5,71,970838
1827,1952,9708447,1.0,0.15947562857739445,0.8405243714226054,7,18.0,6.0,13.0,1.0,12.0,2.0,2.0,,2.0,2.0,2.0,1.0,1.0,,,,2.0,,,,2.0,2.0,1.0,2.0,3.0,2.0,5.0,4.0,1.0,2.0,7,1,5,71,970844
1828,1953,9708453,1.0,0.05290330641070225,0.9470966935892975,3,18.0,6.0,10.0,1.0,12.0,1.0,2.0,,4.0,2.0,15.0,1.0,2.0,2.0,,3.0,2.0,,,,6.0,6.0,2.0,,9.0,,5.0,5.0,1.0,9.0,3,1,5,71,970845
1830,1957,9781524,1.0,0.09018149255031498,0.9098185074496843,4,14.0,5.0,10.0,1.0,12.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,2.0,2.0,1.0,2.0,,4,1,5,71,978152
1831,1958,9781523,1.0,0.09060736489164796,0.9093926351083524,3,17.0,5.0,8.0,1.0,12.0,2.0,1.0,1.0,,2.0,1.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,2.0,3.0,1.0,2.0,,3,1,5,71,978152
1833,1960,9781544,1.0,0.10053455732351482,0.8994654426764845,4,13.0,5.0,10.0,1.0,12.0,2.0,3.0,1.0,4.0,2.0,23.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,1.0,,1.0,1.0,1.0,1.0,4,1,5,71,978154
1834,1961,9781543,1.0,0.10229128354454263,0.8977087164554578,3,16.0,5.0,8.0,1.0,12.0,2.0,3.0,1.0,4.0,2.0,23.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,1.0,,1.0,1.0,1.0,3.0,3,1,5,71,978154
1835,1962,9781554,1.0,0.09459147527889826,0.9054085247211018,4,15.0,5.0,10.0,1.0,12.0,2.0,3.0,1.0,2.0,15.0,1.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,1.0,,1.0,1.0,1.0,3.0,4,1,5,71,978155
1841,1968,9781594,1.0,0.2326968255543604,0.7673031744456392,4,17.0,6.0,8.0,1.0,12.0,2.0,2.0,1.0,1.0,15.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,1.0,4.0,1.0,2.0,,4,1,5,71,978159
1846,1973,9781613,1.0,0.11078558409815367,0.8892144159018456,3,12.0,6.0,7.0,1.0,12.0,2.0,2.0,1.0,1.0,15.0,15.0,1.0,2.0,3.0,,,2.0,,,,1.0,6.0,2.0,,1.0,,1.0,1.0,2.0,,3,1,5,71,978161
1860,1987,9661676,1.0,0.0014496360295928681,0.9985503639704073,6,20.0,6.0,15.0,6.0,12.0,2.0,2.0,,5.0,2.0,15.0,1.0,2.0,2.0,35000.0,3.0,2.0,,,,6.0,6.0,2.0,,1.0,,1.0,1.0,2.0,,6,1,5,71,966167
1865,1992,9661703,1.0,0.11771558227775633,0.8822844177222433,3,19.0,6.0,12.0,6.0,12.0,2.0,3.0,1.0,2.0,2.0,15.0,1.0,2.0,2.0,25000.0,3.0,2.0,,,,6.0,6.0,2.0,,1.0,,5.0,1.0,2.0,,3,1,5,71,966170
1866,1993,9661705,1.0,0.09854125375634637,0.9014587462436524,5,12.0,6.0,8.0,1.0,12.0,2.0,1.0,1.0,,15.0,15.0,1.0,1.0,,,,2.0,,,,1.0,6.0,1.0,1.0,3.0,1.0,5.0,4.0,2.0,,5,1,5,71,966170
1867,1994,9661714,1.0,0.09268502378912669,0.9073149762108745,4,9.0,6.0,7.0,1.0,12.0,2.0,3.0,1.0,2.0,2.0,15.0,1.0,1.0,3.0,,,2.0,,,,1.0,6.0,1.0,1.0,3.0,1.0,5.0,1.0,2.0,,4,1,5,71,966171
1868,1995,9661713,1.0,0.09687915366889623,0.9031208463311028,3,12.0,6.0,7.0,1.0,12.0,2.0,3.0,1.0,2.0,2.0,15.0,1.0,1.0,3.0,,,2.0,,,,1.0,6.0,1.0,1.0,3.0,1.0,5.0,1.0,2.0,,3,1,5,71,966171
1889,2016,9661944,1.0,0.1810182434930442,0.8189817565069566,4,12.0,6.0,8.0,1.0,12.0,2.0,1.0,1.0,,15.0,15.0,1.0,2.0,3.0,,,2.0,,,,2.0,6.0,1.0,1.0,1.0,,3.0,1.0,2.0,,4,1,5,71,966194
1890,2017,9661943,1.0,0.19137721404636404,0.8086227859536369,3,14.0,6.0,8.0,1.0,12.0,2.0,2.0,1.0,2.0,15.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,1.0,,4.0,1.0,2.0,,3,1,5,71,966194
1901,2030,9662155,1.0,0.24430013507121134,0.7556998649287884,5,16.0,6.0,10.0,1.0,12.0,2.0,2.0,,1.0,15.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,1.0,,1.0,1.0,1.0,1.0,5,1,5,71,966215
1908,2037,9662205,1.0,0.19417011869965956,0.8058298813003413,5,8.0,6.0,7.0,1.0,12.0,2.0,1.0,1.0,,15.0,15.0,1.0,1.0,1.0,600.0,1.0,2.0,,,,1.0,2.0,1.0,1.0,1.0,,2.0,1.0,2.0,,5,1,5,71,966220
1910,2039,9662213,1.0,0.2269091342806332,0.7730908657193657,3,10.0,6.0,7.0,1.0,12.0,1.0,1.0,1.0,,15.0,15.0,1.0,1.0,1.0,600.0,2.0,2.0,,,,1.0,2.0,1.0,1.0,1.0,,2.0,1.0,2.0,,3,1,5,71,966221
1914,2043,9662964,1.0,0.00996828790049939,0.9900317120995015,4,24.0,6.0,15.0,2.0,12.0,2.0,2.0,,1.0,15.0,15.0,1.0,2.0,3.0,,,2.0,0.0,0.0,0.0,6.0,6.0,2.0,,3.0,2.0,5.0,1.0,2.0,,4,1,5,71,966296
1915,2044,9662963,1.0,0.008693081874758351,0.9913069181252415,3,27.0,6.0,16.0,4.0,12.0,2.0,2.0,,1.0,2.0,15.0,1.0,2.0,3.0,,,2.0,0.0,0.0,0.0,6.0,6.0,2.0,,3.0,2.0,5.0,1.0,2.0,,3,1,5,71,966296
1916,2045,9662965,1.0,0.011155368974408246,0.9888446310255924,5,21.0,6.0,15.0,4.0,12.0,2.0,2.0,,1.0,2.0,15.0,1.0,2.0,3.0,,,2.0,0.0,0.0,0.0,6.0,6.0,2.0,,3.0,2.0,5.0,1.0,2.0,,5,1,5,71,966296
1918,2051,9662989,1.0,0.06857113283096529,0.9314288671690332,9,6.0,6.0,7.0,1.0,12.0,2.0,3.0,1.0,,2.0,29.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,9.0,,3.0,1.0,1.0,1.0,9,1,5,71,966298
1919,2052,9663002,1.0,0.02800188558899394,0.9719981144110075,2,14.0,5.0,8.0,1.0,12.0,2.0,3.0,1.0,,3.0,1.0,1.0,2.0,3.0,,,1.0,10000.0,9.0,1.0,6.0,6.0,2.0,,9.0,,4.0,1.0,1.0,1.0,2,1,5,71,966300
1920,2053,9663054,1.0,0.019715940899057673,0.9802840591009421,4,18.0,6.0,12.0,14.0,12.0,2.0,2.0,,5.0,15.0,1.0,1.0,2.0,1.0,1000.0,6.0,2.0,,,,6.0,6.0,2.0,,1.0,,2.0,1.0,2.0,,4,1,5,71,966305
1921,2054,9663056,1.0,0.03190661946428014,0.968093380535717,6,18.0,6.0,11.0,4.0,12.0,2.0,2.0,,5.0,2.0,1.0,1.0,2.0,1.0,1600.0,6.0,2.0,,,,6.0,6.0,2.0,,1.0,,2.0,1.0,2.0,,6,1,5,71,966305
1922,2055,9663053,1.0,0.023587888700747895,0.9764121112992513,3,24.0,6.0,14.0,6.0,12.0,2.0,2.0,,3.0,2.0,1.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,1.0,5.0,1.0,2.0,,3,1,5,71,966305
1935,2068,9765186,1.0,0.06009817480783177,0.9399018251921668,6,14.0,6.0,8.0,1.0,12.0,2.0,2.0,,4.0,15.0,15.0,1.0,2.0,1.0,450.0,2.0,1.0,600.0,2.0,1.0,6.0,6.0,2.0,,3.0,2.0,2.0,1.0,2.0,,6,1,5,71,976518
1945,2078,9765253,1.0,0.011432041528275426,0.9885679584717235,3,20.0,6.0,13.0,11.0,12.0,2.0,2.0,,5.0,2.0,15.0,1.0,2.0,2.0,,1.0,2.0,,,,6.0,6.0,2.0,,9.0,,4.0,1.0,2.0,,3,1,5,71,976525
1951,2084,9781814,1.0,0.18211445485434868,0.8178855451456527,4,21.0,6.0,13.0,11.0,12.0,2.0,1.0,,,15.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,2.0,5.0,1.0,2.0,,4,1,5,71,978181
1952,2085,9781823,1.0,0.08198623931747985,0.9180137606825202,3,21.0,10.0,12.0,19.0,12.0,2.0,1.0,,,15.0,15.0,2.0,1.0,,,,2.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,2.0,,3,1,5,71,978182
1959,2092,9782014,1.0,0.13401672539176265,0.8659832746082358,4,13.0,6.0,8.0,1.0,12.0,2.0,1.0,1.0,,15.0,15.0,1.0,2.0,3.0,,,2.0,,,,1.0,6.0,1.0,1.0,1.0,,5.0,4.0,2.0,,4,1,5,71,978201
1960,2093,9782013,1.0,0.01241549382057731,0.9875845061794221,3,15.0,6.0,8.0,1.0,12.0,2.0,1.0,1.0,,15.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,2.0,5.0,4.0,2.0,,3,1,5,71,978201
1963,2096,9782026,1.0,0.05680449589862399,0.9431955041013758,6,8.0,6.0,7.0,1.0,12.0,2.0,1.0,1.0,,15.0,15.0,1.0,2.0,3.0,,,2.0,,,,1.0,6.0,1.0,1.0,1.0,,2.0,4.0,2.0,,6,1,5,71,978202
1964,2097,9782025,1.0,0.005251081266038649,0.9947489187339599,5,10.0,6.0,7.0,1.0,12.0,2.0,1.0,1.0,,15.0,15.0,1.0,2.0,3.0,,,2.0,,,,1.0,6.0,1.0,1.0,1.0,,2.0,4.0,2.0,,5,1,5,71,978202
1965,2098,9782044,1.0,0.06268637680433826,0.937313623195661,4,15.0,5.0,7.0,1.0,12.0,2.0,1.0,,,2.0,15.0,1.0,1.0,,,,2.0,,,,6.0,1.0,2.0,,1.0,,1.0,1.0,2.0,,4,1,5,71,978204
1966,2099,9782043,1.0,0.06214338290238857,0.9378566170976111,3,17.0,5.0,12.0,13.0,12.0,2.0,2.0,,2.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,1.0,5.0,1.0,2.0,,3,1,5,71,978204
1967,2100,9782054,1.0,0.026526960524565723,0.9734730394754334,4,13.0,6.0,8.0,1.0,12.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,1.0,,2.0,1.0,2.0,,4,1,5,71,978205
1968,2101,9782053,1.0,0.026813581407673884,0.9731864185923268,3,14.0,5.0,8.0,1.0,12.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,1.0,,2.0,1.0,2.0,,3,1,5,71,978205
1969,2102,9782055,1.0,0.023521848114893405,0.9764781518851061,5,7.0,6.0,7.0,1.0,12.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,1.0,,2.0,1.0,2.0,,5,1,5,71,978205
1970,2103,9782064,1.0,0.051800797648420355,0.948199202351578,4,10.0,6.0,7.0,1.0,12.0,2.0,2.0,1.0,2.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,1.0,,1.0,1.0,2.0,,4,1,5,71,978206
1971,2104,9782063,1.0,0.052247990162757954,0.9477520098372423,3,16.0,5.0,11.0,4.0,12.0,2.0,2.0,,2.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,1.0,,1.0,1.0,2.0,,3,1,5,71,978206
1972,2105,9782084,1.0,0.04660931119835802,0.9533906888016415,4,11.0,6.0,7.0,1.0,12.0,2.0,1.0,,,15.0,15.0,1.0,2.0,3.0,,,2.0,,,,1.0,6.0,1.0,1.0,1.0,,1.0,1.0,2.0,,4,1,5,71,978208
1974,2107,9782083,1.0,0.04946012026404731,0.9505398797359521,3,14.0,6.0,8.0,1.0,12.0,2.0,1.0,,,15.0,15.0,1.0,2.0,3.0,,,2.0,,,,1.0,6.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,3,1,5,71,978208
1975,2108,9782085,1.0,0.04383256090522467,0.9561674390947756,5,17.0,6.0,11.0,3.0,12.0,2.0,2.0,,2.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,2.0,5.0,1.0,2.0,,5,1,5,71,978208
